Command,Description,Syntax,Parameters,Link,Category,Tags
bzcat,Compress or decompress named file(s)," bzip2 [ -cdfkqstvzVL123456789 ] [ <i>filenames</i> ... ]
 bunzip2 [ -fkvsVL ] [ <i>filenames</i> ... ]
 bzcat [ -s ] [ <i>filenames</i> ... ]
 bzip2recover <i>filename</i>
"," -c --stdout Compress or decompress to standard output.
 -d --decompress Force decompression. bzip2, bunzip2 and bzcat are really the same program,
 and the decision about what actions to take is done on the basis of which
 name is used. This flag overrides that mechanism, and forces bzip2 to decompress.
 -z --compress The complement to -d: forces compression, regardless of the invokation name.
 -t --test Check integrity of the specified file(s), but don't decompress them.
 This really performs a trial decompression and throws away the result.
 -f --force Force overwrite of output files. Normally, bzip2 will not overwrite existing
 output files. Also forces bzip2 to break hard links to files, which it otherwise
 wouldn't do. bzip2 normally declines to decompress files which don't have the
 correct magic header bytes. If forced (-f), however, it will pass such files
 through unmodified. This is how GNU gzip behaves.
 -k --keep Keep (don't delete) input files during compression or decompression.
 -s --small Reduce memory usage, for compression, decompression and testing. Files are
 decompressed and tested using a modified algorithm which only requires 2.5 bytes
 per block byte. This means any file can be decompressed in 2300k of memory, albeit
 at about half the normal speed. During compression, -s selects a block size of
 200k, which limits memory use to around the same figure, at the expense of your
 compression ratio. In short, if your machine is low on memory (8 megabytes or less),
 use -s for everything.
 -q --quiet Suppress non-essential warning messages. Messages pertaining to I/O errors and
 other critical events will not be suppressed.
 -v --verbose Verbose mode -- show the compression ratio for each file processed. Further -v's
 increase the verbosity level, spewing out lots of information which is primarily
 of interest for diagnostic purposes.
 -L --license
 -V --version Display the software version, license terms and conditions.
 -1 (or --fast) to -9 (or -best)
 Set the block size to 100 k, 200 k ... 900 k when compressing. Has no effect when
 decompressing. The --fast and --best aliases are primarily for GNU gzip
 compatibility. In particular, --fast doesn't make things significantly faster.
 And --best merely selects the default behaviour.
 -- Treats all subsequent arguments as file names, even if they start with a dash.
 This is so you can handle files with names beginning with a dash,
 for example: bzip2 -- -myfilename.
 --repetitive-fast, --repetitive-best
 These flags are redundant in versions 0.9.5 and above. They provided some coarse
 control over the behaviour of the sorting algorithm in earlier versions, bzip now
 has an improved algorithm which renders these flags irrelevant.</pre>
",https://ss64.com/bash/bzip2.html,File Manipulation,File Compression
bzip2recover,Compress or decompress named file(s)," bzip2 [ -cdfkqstvzVL123456789 ] [ <i>filenames</i> ... ]
 bunzip2 [ -fkvsVL ] [ <i>filenames</i> ... ]
 bzcat [ -s ] [ <i>filenames</i> ... ]
 bzip2recover <i>filename</i>
"," -c --stdout Compress or decompress to standard output.
 -d --decompress Force decompression. bzip2, bunzip2 and bzcat are really the same program,
 and the decision about what actions to take is done on the basis of which
 name is used. This flag overrides that mechanism, and forces bzip2 to decompress.
 -z --compress The complement to -d: forces compression, regardless of the invokation name.
 -t --test Check integrity of the specified file(s), but don't decompress them.
 This really performs a trial decompression and throws away the result.
 -f --force Force overwrite of output files. Normally, bzip2 will not overwrite existing
 output files. Also forces bzip2 to break hard links to files, which it otherwise
 wouldn't do. bzip2 normally declines to decompress files which don't have the
 correct magic header bytes. If forced (-f), however, it will pass such files
 through unmodified. This is how GNU gzip behaves.
 -k --keep Keep (don't delete) input files during compression or decompression.
 -s --small Reduce memory usage, for compression, decompression and testing. Files are
 decompressed and tested using a modified algorithm which only requires 2.5 bytes
 per block byte. This means any file can be decompressed in 2300k of memory, albeit
 at about half the normal speed. During compression, -s selects a block size of
 200k, which limits memory use to around the same figure, at the expense of your
 compression ratio. In short, if your machine is low on memory (8 megabytes or less),
 use -s for everything.
 -q --quiet Suppress non-essential warning messages. Messages pertaining to I/O errors and
 other critical events will not be suppressed.
 -v --verbose Verbose mode -- show the compression ratio for each file processed. Further -v's
 increase the verbosity level, spewing out lots of information which is primarily
 of interest for diagnostic purposes.
 -L --license
 -V --version Display the software version, license terms and conditions.
 -1 (or --fast) to -9 (or -best)
 Set the block size to 100 k, 200 k ... 900 k when compressing. Has no effect when
 decompressing. The --fast and --best aliases are primarily for GNU gzip
 compatibility. In particular, --fast doesn't make things significantly faster.
 And --best merely selects the default behaviour.
 -- Treats all subsequent arguments as file names, even if they start with a dash.
 This is so you can handle files with names beginning with a dash,
 for example: bzip2 -- -myfilename.
 --repetitive-fast, --repetitive-best
 These flags are redundant in versions 0.9.5 and above. They provided some coarse
 control over the behaviour of the sorting algorithm in earlier versions, bzip now
 has an improved algorithm which renders these flags irrelevant.</pre>
",https://ss64.com/bash/bzip2.html,File Manipulation,File Compression
cal,Display a calendar," cal [-smjy13] [[[day] <i>month</i>] <i>year</i>] 
 ncal [-smjy13] [[[day] <i>month</i>] <i>year</i>]
"," -1 Display single month output. (default)
 -3 Display prev/current/next month output.
 -s Display Sunday as the first day of the week.
 -m Display monday as the first day of the week.
 -j Display julian dates (days one-based, numbered from January 1).
 -y Display a calendar for the current year.
 -V Display version information and exit.</pre>
",https://ss64.com/bash/cal.html,System Utility,
ncal,Display a calendar," cal [-smjy13] [[[day] <i>month</i>] <i>year</i>] 
 ncal [-smjy13] [[[day] <i>month</i>] <i>year</i>]
"," -1 Display single month output. (default)
 -3 Display prev/current/next month output.
 -s Display Sunday as the first day of the week.
 -m Display monday as the first day of the week.
 -j Display julian dates (days one-based, numbered from January 1).
 -y Display a calendar for the current year.
 -V Display version information and exit.</pre>
",https://ss64.com/bash/cal.html,System Utility,
caller,Return the context of any active subroutine call •," caller [<i>expr</i>]</pre>
",Not Available,https://ss64.com/bash/caller.html,System Administration,Process management
case,Conditionally perform a command," case <i>word</i> in [ [(] <i>pattern</i> [| <i>pattern</i>]...) <i>command-list</i> ;;]... esac</pre>
",Not Available,https://ss64.com/bash/case.html,System Administration,Command Execution
cat,Concatenate and print (display) the content of files," cat [<i>Options</i>] [<i>File</i>]...
",Not Available,https://ss64.com/bash/cat.html,File Manipulation,
cd,Change Directory," cd [<i>Options</i>] [<i>Directory</i>]
"," -P Do not follow symbolic links
 -L Follow symbolic links (default)</pre>
",https://ss64.com/bash/cd.html,System Administration,
cfdisk,Partition table manipulator for Linux," cfdisk [ -agvz ] [ -c <i>cylinders</i> ] [ -h <i>heads</i> ]
 [ -s <i>sectors-per-track</i> ] [ -P <i>opt</i> ] [ <i>device</i> ] 
",Not Available,https://ss64.com/bash/cfdisk.html,System Administration,Disk/Volume Management
chattr,Change file attributes on a Linux file system," chattr [ -RVf ] [ -v <i>version</i> ] [ <i>mode</i> ] <i>files</i>...
 The format of a symbolic <i>mode</i> is +-=[acdeijstuADST]
"," -R Recursively change attributes of directories and their contents.
 -V Be verbose with chattr's output and print the program version.
 -f Suppress most error messages.
 -v <i>version</i> Set the file's version/generation number.</pre>
",https://ss64.com/bash/chattr.html,File Manipulation,
chgrp,Change group ownership," chgrp [<i>Options</i>]... {<i>Group</i> | --reference=<i>File</i>} <i>File</i>...
"," -c
 --changes
 Verbosely describe the action for each <i>File</i> whose group actually changes.
 -f
 --silent
 --quiet
 Do not print error messages about files whose group cannot be changed.
 -f
 --no-dereference
 Act on symbolic links themselves instead of what they point to.
 Only available if the 'lchown' system call is provided.
 --reference=<i>FILE</i>
 Use the group of the reference <i>FILE</i> instead of an explicit <i>GROUP</i>.
 -v
 --verbose
 Verbosely describe the action or non-action taken for every <i>File</i>.
 -R
 --recursive
 Recursively change the group ownership of directories and their
 contents.</pre>
",https://ss64.com/bash/chgrp.html,System Administration,
chmod,Change access permissions," chmod [<i>Options</i>]... <i>Mode</i> [,<i>Mode</i>]... <i>file</i>...
 chmod [<i>Options</i>]... <i>Numeric_Mode </i><i>file</i>...
 chmod [<i>Options</i>]... --reference=<i>RFile</i> <i>file</i>...
",Not Available,https://ss64.com/bash/chmod.html,File Manipulation,
chown,Change file owner and group,Not Available,Not Available,https://ss64.com/bash/chown.html,File Manipulation,
chpasswd,Update passwords in batch mode," chpasswd [<i>Options</i>...]
",Not Available,https://ss64.com/bash/chpasswd.html,File Manipulation,Credential Management
chroot,Run a command with a different root directory,Not Available,Not Available,https://ss64.com/bash/chroot.html,System Administration,Command Execution
chkconfig,System services (runlevel)," chkconfig --list [<i>name</i>]<br> chkconfig --add <i>name</i><br> chkconfig --del <i>name</i><br> chkconfig [--level <i>levels</i>] <i>name</i> &lt;on|off|reset&gt;<br> chkconfig [--level <i>levels</i>] <i>name</i> 
",Not Available,https://ss64.com/bash/chkconfig.html,System Administration,
cksum,Print CRC checksum and byte counts," cksum [<i>Option</i>]... [<i>File</i>]...
",Not Available,https://ss64.com/bash/cksum.html,System Utility,
clear,Clear terminal screen,Not Available,Not Available,No link available,System Utility,
cmp,Compare two files," cmp <i>options</i>... <i>FromFile</i> [<i>ToFile</i>]
",Not Available,https://ss64.com/bash/cmp.html,System Utility ,File Analysis
comm,Compare two sorted files line by line," comm [<i>options</i>]... <i>File1 File2</i>
",Not Available,https://ss64.com/bash/comm.html,System Utility ,File Analysis
command,Run a command - ignoring shell functions •," command [-pVv] <i>command</i> [<i>arguments</i> ...]
"," -P Use a default path
 -v Verbose
 -V More verbose</pre>
",https://ss64.com/bash/command.html,System Administration,Command Execution
continue,Resume the next iteration of a loop •,Not Available,Not Available,https://ss64.com/bash/continue.html,System Administration,Process management
cp,Copy one or more files to another location," cp [<i>options</i>]... <i>Source</i> <i>Dest</i>
 cp [<i>options</i>]... <i>Source</i>... <i>Directory</i>
"," -a, --archive same as -dpR
 -b, --backup Make backup before removal.
 If the copy will overwrite a file in the destination, then
 the original file will be backed up as 'filename~' before
 being overwritten.
 -d, --no-dereference preserve links
 -f, --force remove existing destinations, never prompt
 -i, --interactive prompt before overwrite
 -l, --link link files instead of copying
 -p, --preserve preserve file attributes if possible
 -P, --parents append source path to DIRECTORY
 -r copy recursively, non-directories as files
 --sparse=WHEN control creation of sparse files
 -R, --recursive copy directories recursively
 -s, --symbolic-link make symbolic links instead of copying
 -S, --suffix=SUFFIX override the usual backup suffix
 -u, --update copy only when the SOURCE file is newer
 than the destination file or when the
 destination file is missing
 -v, --verbose explain what is being done
 -V, --version-control=WORD override the usual version control
 -x, --one-file-system stay on this file system
 --help display this help and exit
 --version output version information and exit.</pre>
",https://ss64.com/bash/cp.html,File Manipulation,
cpio,Copy files to and from archives," Copy-In mode:
 cpio {-i|--extract} [-bcdfmnrtsuvBSV] [-C <i>bytes</i>] [-E <i>file</i>] [-H <i>format</i>] [-M <i>message</i>] [-R [<i>user</i>][:.][<i>group</i>]]
 [-I [[<i>user@</i>]<i>host</i>:]<i>archive</i>] [-F [[<i>user@</i>]<i>host</i>:]<i>archive</i>] [--file=[[<i>user@</i>]<i>host</i>:]<i>archive</i>] [--make-directories]
 [--nonmatching] [--preserve-modification-time] [--numeric-uid-gid] [--rename] [-t|--list] [--swap-bytes]
 [--swap] [--dot] [--unconditional] [--verbose] [--block-size=<i>blocks</i>] [--swap-halfwords]
 [--io-size=<i>bytes</i>] [--pattern-file=<i>file</i>] [--format=<i>format</i>] [--owner=[<i>user</i>][:.][<i>group</i>]]
 [--no-preserve-owner] [--message=<i>message</i>] [--force-local] [--no-absolute-filenames]
 [--absolute-filenames] [--sparse] [--only-verify-crc] [--to-stdout] [--quiet]
 [--rsh-command=<i>command</i>] [--help] [--version] [<i>pattern</i>...] [< <i>archive</i>]
 Copy-Out mode:
 cpio {-o|--create} [-0acvABLV] [-C <i>bytes</i>] [-H <i>format</i>] [-M <i>message</i>] [-O [[user@]host:]<i>archive</i>]
 [-F [[<i>user@</i>]<i>host</i>:]<i>archive</i>] [--file=[[<i>user@</i>]<i>host</i>:]<i>archive</i>] [--format=<i>format</i>] [--message=<i>message</i>]
 [--null] [--reset-access-time] [--verbose] [--dot] [--append] [--block-size=<i>blocks</i>]
 [--dereference] [--io-size=<i>bytes</i>] [--rsh-command=command] [--help] [--version] < <i>name-list</i> [> <i>archive</i>]
 Pass-Thru mode:
 cpio {-p|--pass-through} [-0adlmuvLV] [-R [<i>user</i>][:.][<i>group</i>]] [--null] [--reset-access-time]
 [--make-directories] [--link] [--quiet] [--preserve-modification-time] [--unconditional] [--verbose]
 [--dot] [--dereference] [--owner=[<i>user</i>][:.][<i>group</i>]] [--no-preserve-owner] [--sparse] [--help]
 [--version] destination-directory < <i>name-list</i>
 The first option to cpio is a mode indicator:
 -i <b>Copy-in</b> mode. Read an archive from standard input (unless overriden) and extract the contents to disk
 or (if the -t option is specified) list the contents to standard output.
 If one or more file patterns are specified, only files matching one of the patterns will be extracted.
 Unlike in the shell, an initial '.' in a filename does match a wildcard at the start of a pattern, and
 a '/' in a filename can match wildcards.
 -o <b>Copy-out</b> mode. Read a list of filenames, one per line, from standard input and produce a new archive on standard output
 (unless overriden) containing the specified items.
 -p <b>Pass-Thru</b> mode. Read a list of filenames from standard input and copy the files to the specified directory.
 This combines the copy-out and copy-in steps without actually using an archive.
",Not Available,https://ss64.com/bash/cpio.html,File Manipulation,
cron,Daemon to execute scheduled commands," cron [-n | -p | -s | -m&lt;<i>mailcommand</i>&gt;]
 cron -x [ext,sch,proc,pars,load,misc,test,bit] 
"," -s This option will direct cron to send job output to the system log using syslog(3).
 This is useful if your system has no sendmail(8), or if mail is disabled using -m off.
 -m This option allows you to specify a shell command string to use for sending cron
 mail output instead of sendmail(8). This command must accept a fully formatted mail
 message (with headers) on stdin and send it as a mail message to the recipients
 specified in the mail headers.
 -n This option changes default behavior causing it to run crond in the foreground.
 This can be useful when starting it out of init.
 -p Permit any crontab, which user set.
 -x This option sets debug flags.
 As a special case, the string <b>off</b> will disable sending mail.
",https://ss64.com/bash/cron.html,System Administration,Process management
crontab,Schedule a command to run at a later time," crontab [ -u <i>user</i> ] <i>file</i>
 crontab [ -u <i>user</i> ] { -l | -r | -e }
"," -l List - display the current crontab entries.
 -r Remove the current crontab.
 -e Edit the current crontab using the editor specified by the 
 VISUAL or EDITOR environment variables.
 After you exit from the editor, the modified crontab will be installed automatically.</pre>
",https://ss64.com/bash/crontab.html,System Administration,Process management
csplit,Split a file into context-determined pieces," csplit [<i>options</i>]... <i>FILE</i> <i>PATTERN</i>...
",Not Available,https://ss64.com/bash/csplit.html,File Manipulation,
curl,Transfer data  from or to a server," curl [<i>options</i>] [<i>URL</i>...]
"," <i>url</i> One or multiple URLs that will be fetched in sequence.
 Multiple URLs or parts of URLs can be specified by writing part sets within braces as in:
 https://site.<b>{</b>one,two,three<b>}</b>.com
 or get sequences of alphanumeric series by using [] as in:
 ftp://ftp.numericals.com/file<b>[</b>1-100<b>]</b>.txt
 ftp://ftp.numericals.com/file<b>[</b>001-100<b>]</b>.txt (with leading zeros)
 ftp://ftp.letters.com/file<b>[</b>a-z<b>]</b>.txt
 -A &quot;<i>agent string</i>&quot;
 --user-agent &quot;<i>agent string</i>&quot;
 Specify the User-Agent string to send to the HTTP server.
 To encode blanks in the string, surround the string with single
 quote marks. This can also be set with -H, --header option. (HTTP)
 -b <i>name</i>=<i>data</i>
 --cookie <i>name</i>=<i>data
",https://ss64.com/bash/curl.html,"File Manipulation, Remote Connectivity","File Transfer, Web Request"
cut,Divide a file into several parts," cut [<i>OPTION</i>]... [<i>FILE</i>]...
",Not Available,https://ss64.com/bash/cut.html,File Manipulation,
date,Display or change the date &amp; time," date [<i>option</i>]... [+<i>Format</i>]
 
 date [-u|--utc|--universal] [MMDDhhmm[[CC]YY][.ss]]</pre>
",Not Available,https://ss64.com/bash/date.html,System Administration,
dc,Desk Calculator," dc <i>options</i>
",Not Available,https://ss64.com/bash/dc.html,System Utility,
dd,"Data Duplicator - convert and copy a file, write disk headers, boot records"," dd [<i>Options</i>]
"," if=<i>FILE</i>
 Input file : Read from FILE instead of standard input.
 of=<i>FILE</i>
 Output file : Write to FILE instead of standard output. Unless 'conv=notrunc'
 is given, 'dd' truncates FILE to zero bytes (or the size specified
 with 'seek=').
 ibs=<i>BYTES</i>
 Read BYTES bytes at a time.
 obs=<i>BYTES</i>
 Write BYTES bytes at a time.
 bs=<i>BYTES</i>
 Block size, both read and write <i>BYTES</i> bytes at a time. This overrides 'ibs'
 and 'obs'.
 cbs=<i>BYTES</i>
 Convert BYTES bytes at a time.
 skip=<i>BLOCKS</i>
 Skip BLOCKS 'ibs'-byte blocks in the input file before copying.
 seek=<i>BLOCKS</i>
 Skip BLOCKS 'obs'-byte blocks in the output file before copying.
 count=<i>BLOCKS</i>
 Copy BLOCKS 'ibs'-byte blocks from the input file, instead of
 everything until the end of the file.
 conv=<i>CONVERSION</i>[,<i>CONVERSION</i>]...
 Convert the file as specified by the CONVERSION argument(s). 
 (No spaces around any comma)
 Conversions:
 'ascii' Convert EBCDIC to ASCII.
 'ebcdic' Convert ASCII to EBCDIC.
 'ibm' Convert ASCII to alternate EBCDIC.
 'block' For each line in the input, output 'cbs' bytes, replacing the
 input newline with a space and padding with spaces as
 necessary.
 'unblock' Replace trailing spaces in each 'cbs'-sized input block with a newline.
 'lcase' Change uppercase letters to lowercase.
 'ucase' Change lowercase letters to uppercase.
 'swab' Swap every pair of input bytes. GNU 'dd', unlike others, works when
 an odd number of bytes are read--the last byte is copied
 (since there is nothing to swap it with).
 'noerror' Continue after read errors.
 'notrunc' Do not truncate the output file.
 'sync' Pad every input block to size of 'ibs' with trailing zero bytes.</pre>
",https://ss64.com/bash/dd.html,File Manipulation,
ddrescue,Data recovery tool," ddrescue [<i>options</i>] <i>infile outfile</i> [<i>logfile</i>]
",Not Available,https://ss64.com/bash/ddrescue.html,File Manipulation,Data Recovery
declare,Declare variables and give them attributes •," declare [-aAfFgiIlnrtux] [-p] [<i>name</i>[=<i>value</i>]]
"," -a Each name is an <a href=""syntax-arrays.html"">array</a> variable.
 -A Each name is an associative <a href=""syntax-arrays.html"">array</a> variable
 -f Use function names only.
 -F Inhibit the display of function definitions; 
 only the function name and attributes are printed. (implies -f)
 -g Force variables to be created or modified at the global scope, even when declare is executed
 in a shell function. It is ignored in all other cases. 
 -i The variable is to be treated as an integer; arithmetic evaluation (see <a href=""syntax-math.html"">Shell Arithmetic</a>)
 is performed when the variable is assigned a value.
 -I Cause local variables to inherit the attributes (except the nameref attribute) and value
 of any existing variable with the same name at a surrounding scope.
 If there is no existing variable, the local variable is initially unset. 
 -l When the variable is assigned a value, all upper-case characters are
 converted to lower-case. The upper-case attribute is disabled.
 -n Give each <i>name</i> the nameref attribute, making it a name reference to another variable.
 That other variable is defined by the value of <i>name</i>.
 All references, assignments, and attribute modifications to <i>name</i>, except for those using
 or changing the -n attribute itself, are performed on the variable referenced by <i>name</i>’s value.
 The nameref attribute cannot be applied to array variables.
 -p Display the attributes and values of each <i>name</i>. 
 When -p is used with name arguments, additional options, other than -f and -F, are ignored.
 When -p is supplied without <i>name</i> arguments, declare will display the attributes and values
 of all variables having the attributes specified by the additional options.
 If no other options are supplied with -p, declare will display the attributes and values
 of all shell variables. The -f option will restrict the display to shell functions. 
 -r Make <i>name</i>s readonly. 
 These names cannot then be assigned values by subsequent assignment statements 
 or unset.
 -t Give each <i>name</i> the trace attribute.
 Traced functions inherit the DEBUG and RETURN traps from the calling shell.
 The trace attribute has no special meaning for variables.
 -u When the variable is assigned a value, all lower-case characters are converted to upper-case.
 The lower-case attribute is disabled.
 -x Mark each <i>name</i> for export to subsequent commands via the environment.
",https://ss64.com/bash/declare.html,System Utility,
df,Display free disk space,Not Available,Not Available,https://ss64.com/bash/df.html,System Administration,Disk/Volume Management
diff,Display the differences between two files," diff [<i>options</i>] <i>FILES</i></pre>
",Not Available,https://ss64.com/bash/diff.html,System Utility ,File Analysis
diff3,Show differences among three files," diff3 [<i>options</i>] <i>MYFILE OLDFILE YOURFILE</i>
",Not Available,https://ss64.com/bash/diff3.html,System Utility ,File Analysis
dig,DNS lookup," dig [@<i>server</i>] [-b <i>address</i>] [-c <i>class</i>] [-f <i>filename</i>] [-k <i>filename</i>]
 [-p <i>port#</i>] [-t <i>type</i>] [-x <i>addr</i>] [-y <i>name</i>:<i>key</i>] [-4] [-6]
 [<i>name</i>] [<i>type</i>] [<i>class</i>] [<i>queryopt</i>...]<br> dig [-h]
",Not Available,https://ss64.com/bash/dig.html,Enumeration,DNS
dir,Briefly list directory contents," dir (also installed as 'd')</pre>
",Not Available,https://ss64.com/bash/dir.html,Enumeration,
dircolors,Colour setup for 'ls'," eval 'dircolors [<i>options</i>]... [<i>file</i>]'
",Not Available,https://ss64.com/bash/dircolors.html,System Utility ,
dirname,Convert a full pathname to just a path," dirname <i>pathname</i>
",Not Available,https://ss64.com/bash/dirname.html,System Utility,
dirs,Display list of remembered directories," dirs [+N | -N] [-clpv]
",Not Available,https://ss64.com/bash/dirs.html,Enumeration,
dos2unix,Windows/MAC to UNIX text file format converter," dos2unix [options] [-c <i>convmode</i>] [-o <i>file</i> ...] [-n <i>infile outfile</i> ...]
"," -h --help Print online help. 
 -k --keepdate Keep the date stamp of output file same as input file. 
 -q --quiet Quiet mode. Suppress all warning and messages.
 -V --version Prints version information.
 -c --convmode <i>convmode</i>
 Set conversion mode.
 Where <i>convmode</i> is one of: ASCII, 7bit, ISO, Mac with ASCII being the default.
 Simulates dos2unix under SunOS.
 -o --oldfile <i>file</i> ...
 Old file mode.
 Convert the file and write output to it. The program defaults to run in this mode.
 Wildcard names may be used.
 -n --newfile <i>infile outfile</i> ...
 New file mode. Convert the infile and write output to outfile.
 File names must be given in pairs and wildcard names should NOT be used or you WILL lose your files.</pre>
",https://ss64.com/bash/dos2unix.html,File Manipulation,
dmesg,Print kernel &amp; driver messages ," dmesg [ -c ] [ -n <i>level</i> ] [ -s <i>bufsize</i> ]</pre>
",Not Available,https://ss64.com/bash/dmesg.html,Enumeration,
dpkg,Package manager  (Debian/Ubuntu).," dpkg [<i>options</i>] <i>action</i>
",Not Available,https://ss64.com/bash/dpkg.html,System Administration,
du,Estimate file space usage," du [<i>options</i>]... [<i>file</i>]...
",Not Available,https://ss64.com/bash/du.html,Enumeration,
echo,Display message on screen •," echo [<i>options</i>]... [<i>String</i>]...
",Not Available,https://ss64.com/bash/echo.html,System Utility ,
egrep,Search file(s) for lines that match an extended expression," egrep [ <i>options</i> ] '<i>PATTERN</i>' <i>files</i> ...
",Not Available,https://ss64.com/bash/egrep.html,System Utility ,Search
eject,Eject removable media," eject -h
 eject [-vnrsfmqp] [<i>name</i>]
 eject [-vn] -d
 eject [-vn] -a on|off|1|0 [<i>name</i>]
 eject [-vn] -c slot [<i>name</i>]
 eject [-vn] -t [<i>name</i>]
 eject [-vn] -T [<i>name</i>]
 eject [-vn] -x <i>speed</i> [<i>name</i>]
 eject [-vn] -X [<i>name</i>]
 eject -V
",Not Available,https://ss64.com/bash/eject.html,System Administration,Disk/Volume Management
enable,Enable and disable builtin shell commands •," enable [-a] [-dnps] [-f <i>filename</i>] [<i>name</i> …]
"," -a List each builtin with an indication of whether or not it is enabled.
 
 -d Delete a builtin loaded with '-f'. 
 -f Load the new builtin command <i>name</i> from shared object <i>filename</i>, on systems that
 support dynamic loading.
 -n Disable the <i>name</i>s listed, otherwise names are enabled.
 -p Print a list of shell builtins, default if no <i>name</i> arguments appear.
 With no other arguments, the list consists of all enabled shell builtins. 
 -s Restrict to enable only POSIX special builtins</pre>
",https://ss64.com/bash/enable.html,System Administration,Command Execution
env,Environment variables," env [<i>OPTION</i>]... [NAME=<i>VALUE</i>]... [<i>COMMAND</i> [<i>ARGS</i>]...]
",Not Available,https://ss64.com/bash/env.html,System Utility ,Variable
ethtool,Ethernet card settings,Not Available,Not Available,No link available,"System Administration, Networking",
eval,Evaluate several commands/arguments," eval [<i>arguments</i>]</pre>
",Not Available,https://ss64.com/bash/eval.html,System Utility ,File Analysis
exec,Execute a command," exec [-cl] [-a <i>name</i>] [<i>command</i> [<i>arguments</i>]]
",Not Available,https://ss64.com/bash/exec.html,System Administration,Command Execution
exit,Exit the shell," exit [<i>n</i>]
"," <i>n</i> Set the exit status to <i>n</i> (default=0)</pre>
",https://ss64.com/bash/exit.html,System Utility ,
expand,Convert tabs to spaces," expand [<i>options</i>]... [<i>file</i>]...
",Not Available,https://ss64.com/bash/expand.html,File Manipulation,
export,Set an environment variable," export [-fn] [<i>name</i>[=<i>value</i>]]
 export -p
",Not Available,https://ss64.com/bash/export.html,System Utility ,Variable
expr,Evaluate expressions," expr <i>expression</i>
 expr <i>option
",Not Available,https://ss64.com/bash/expr.html,System Utility ,File Analysis
false,"Do nothing, unsuccessfully"," false</pre>
",Not Available,https://ss64.com/bash/false.html,System Administration,Command Execution
fdformat,Low-level format a floppy disk," fdformat [ -n ] <i>device
",Not Available,https://ss64.com/bash/fdformat.html,System Administration,Disk/Volume Management
fdisk,Partition table manipulator for Linux," fdisk [-u] <i>device</i>
 fdisk -l [-u] <i>device</i> ...
 fdisk -s <i>partition</i> ...
 fdisk -v
",Not Available,https://ss64.com/bash/fdisk.html,System Administration,Disk/Volume Management
fg,Send job to foreground," fg [<i>job_id</i>...]
",Not Available,https://ss64.com/bash/fg.html,System Administration,Process management
fgrep,Search file(s) for lines that match a fixed string," fgrep <i>options</i> ...
",Not Available,https://ss64.com/bash/fgrep.html,System Utility ,Search
file,Determine file type," file [-bchikLNnprsvz0] [--apple] [--mime-encoding] [--mime-type] [-e <i>testname</i>]
 [-F <i>separator</i>] [-f <i>namefile</i>] [-m <i>magicfiles</i>] <i>file</i> ... 
 file -C [-m <i>magicfiles</i>]
 file [--help]
"," -b, --brief Do not prepend filenames to output lines (brief mode).
 -C, --compile Write a magic.mgc output file that contains a pre-parsed version of the magic file or directory.
 -c, --checking-printout
 Cause a checking printout of the parsed form of the magic file.
 This is usually used in conjunction with the -m flag to debug a
 new magic file before installing it.
 -e, --exclude <i>testname</i>
 Exclude the test named in <i>testname</i> from the list of tests made to determine the file type.
 Valid test names are:
 apptype EMX application type (only on EMX).
 text Various types of text files (this test will try to guess the text encoding,
 irrespective of the setting of the 'encoding' option).
 encoding Different text encodings for soft magic tests.
 tokens Look for known tokens inside text files.
 cdf Print details of Compound Document Files.
 compress Check for, and looks inside, compressed files.
 elf Print ELF file details.
 soft Consult magic files.
 tar Examine tar files.
 -F, --separator <i>separator</i>
 Use the specified string as the separator between the filename and
 the file result returned. Defaults to ':'.
 -f, --files-from <i>namefile
",https://ss64.com/bash/file.html,System Utility ,File Analysis
find,Search for files that meet a desired criteria," find [-H] [-L] [-P] [<i>path</i>...] [<i>expression</i>]</pre>
",Not Available,https://ss64.com/bash/find.html,System Utility ,Search
fmt,Reformat paragraph text," fmt [<i>option(s)</i>]... [<i>file</i>]...
",Not Available,https://ss64.com/bash/fmt.html,System Utility ,
fold,Wrap text to fit a specified width," fold [<i>options</i>]... [<i>FILE</i>]...
",Not Available,https://ss64.com/bash/fold.html,System Utility ,
for,"Expand <i>words</i>, and execute <i>commands</i>"," for <i>name</i> [in <i>words</i> ...]; do <i>commands</i>; done</pre>
",Not Available,https://ss64.com/bash/for.html,System Administration,Process management
format,Format disks or tapes,Not Available,Not Available,No link available,System Administration,Disk/Volume Management
free,Display memory usage,Not Available,Not Available,No link available,Enumeration,
fsck,File system consistency check and repair," fsck [<i>options</i>] [<i>filesystem</i>] ...
",Not Available,https://ss64.com/bash/fsck.html,System Administration,Disk/Volume Management
ftp,File Transfer Protocol," ftp [-<i>options</i>] [-s:<i>filename</i>] [-w:<i>buffer</i>] [<i>host</i>]
"," -s:<i>filename</i> Run a text file containing FTP commands.
 <i>host</i> Host name or IP address of the remote host.
 This can include a user in the format ftp://<i>username</i>:[<i>password</i>]@<i>hostname</i>
 -g Disable filename wildcards.
 -n No auto-login.
 -i No interactive prompts during ftp.
 -v Hide remote server responses.
 -w:<i>buffer</i> Set buffer size to <i>buffer</i>
 (default=4096)
 -d Debug
 
 -a Use any local interface when binding data connection.
",https://ss64.com/bash/ftp.html,"File Manipulation, Remote Connectivity",File Transfer
